Card number|Card type
379206347622116|American Express
375741712016308|American Express
347986305368393|American Express
340423604897754|American Express
375566119836473|American Express
342187150066498|American Express
373931266792733|American Express
376057368873879|American Express
371447575316488|American Express
375740091611721|American Express
349955318844920|American Express
371623304825375|American Express
344418952124047|American Express
348004507532342|American Express
342210406274813|American Express
371533552930373|American Express
347926216923639|American Express
347363096750504|American Express
341391607526234|American Express
378426031332589|American Express
346153274342484|American Express
371739077077570|American Express
379194015257417|American Express
343269464517108|American Express
342232523996037|American Express
340010646705903|American Express
375027984970673|American Express
379705541601487|American Express
377870116115008|American Express
340701692299466|American Express
375789793483822|American Express
343964753424459|American Express
371164957854610|American Express
348133498750538|American Express
379888736785859|American Express
378523760461355|American Express
349962094549202|American Express
344183010128584|American Express
343356257550840|American Express
346775518106703|American Express
343936860410787|American Express
344210499668135|American Express
375182976885973|American Express
342164290325001|American Express
348521486785815|American Express
344218287136140|American Express
346035473477411|American Express
379589968553441|American Express
378044642233193|American Express
348998633900176|American Express
349857976863376|American Express
349400999970157|American Express
371175915842836|American Express
377999149110965|American Express
372085036598853|American Express
347896959276786|American Express
343521000839283|American Express
377995683750778|American Express
374858102495321|American Express
370045546414829|American Express
345058006900403|American Express
374914705008449|American Express
377774305648631|American Express
347860786262476|American Express
346634749217492|American Express
344244058505222|American Express
348026751908811|American Express
376713941732210|American Express
341514614631404|American Express
343331171932408|American Express
378271533061850|American Express
374745506367703|American Express
342911584696525|American Express
349572254148008|American Express
370610883841536|American Express
370172396457284|American Express
347725571348840|American Express
340518500423850|American Express
348115982823996|American Express
341399674468396|American Express
373201396257035|American Express
377797247525302|American Express
341949308530167|American Express
346533383314724|American Express
346235090091948|American Express
347758912084006|American Express
343958328832105|American Express
346601573588579|American Express
374783284560553|American Express
377527556058805|American Express
371496026883679|American Express
348036116594966|American Express
349423368513606|American Express
370043323413700|American Express
344727225933392|American Express
378755479650866|American Express
379027388459089|American Express
377973012501352|American Express
341654179902400|American Express
341904600561477|American Express
349737829286142|American Express
374510770153605|American Express
373093543410421|American Express
376520119097841|American Express
372768451469581|American Express
374291564483488|American Express
376554036973875|American Express
346022215113298|American Express
348131383169376|American Express
348617810879009|American Express
374799712280325|American Express
347746373976398|American Express
371349251817435|American Express
344396584143140|American Express
373742221604669|American Express
348666680170858|American Express
345886909400133|American Express
346783386529592|American Express
349397897058145|American Express
375316205620716|American Express
346104826092986|American Express
375170257298958|American Express
376609386813376|American Express
377591934589774|American Express
344112346676883|American Express
342209861703407|American Express
373665735522269|American Express
340137440909660|American Express
348687853624737|American Express
340117888542355|American Express
376719565253748|American Express
